frame	prob	informative
0	0.012996028177440166	False
1	0.027226585894823074	False
2	0.02962084487080574	False
3	0.03619130700826645	False
4	0.062106069177389145	False
5	0.18752910196781158	False
6	0.22453728318214417	False
7	0.26135918498039246	False
8	0.10732907056808472	False
9	0.10241427272558212	False
10	0.12183890491724014	False
11	0.25258517265319824	False
12	0.1771366149187088	False
13	0.32514163851737976	False
14	0.36129018664360046	False
15	0.3357233703136444	False
16	0.5411562323570251	True
17	0.6956080198287964	True
18	0.8896832466125488	True
19	0.9560624957084656	True
20	0.9287277460098267	True
21	0.8365409970283508	True
22	0.9761101007461548	True
23	0.9850735068321228	True
24	0.9848520159721375	True
25	0.9623132944107056	True
26	0.9553885459899902	True
27	0.9495429992675781	True
28	0.8950875401496887	True
29	0.8966509103775024	True
30	0.918216347694397	True
31	0.9107783436775208	True
32	0.8516109585762024	True
33	0.9141407012939453	True
34	0.8743271231651306	True
35	0.7446355223655701	True
36	0.8906958699226379	True
37	0.8683404922485352	True
38	0.5225235223770142	True
39	0.7499303221702576	True
40	0.8107939958572388	True
41	0.8077194094657898	True
42	0.8331846594810486	True
43	0.9351146817207336	True
44	0.9713158011436462	True
45	0.8584217429161072	True
46	0.9450878500938416	True
47	0.8892214894294739	True
48	0.9045026898384094	True
49	0.8717514276504517	True
50	0.8013071417808533	True
51	0.8399712443351746	True
52	0.7712739706039429	True
53	0.8378939032554626	True
54	0.7284783720970154	True
55	0.7975355982780457	True
56	0.7121462225914001	True
57	0.6148672103881836	True
58	0.8110791444778442	True
59	0.7182835340499878	True
60	0.7026593685150146	True
61	0.6915022730827332	True
62	0.6016189455986023	True
63	0.7350912094116211	True
64	0.815913200378418	True
65	0.8513941168785095	True
66	0.8545581698417664	True
67	0.9326192736625671	True
68	0.846435010433197	True
69	0.8261547088623047	True
70	0.9242553114891052	True
71	0.8854315876960754	True
72	0.8627744913101196	True
73	0.7450553178787231	True
74	0.8618620038032532	True
75	0.8505150079727173	True
76	0.8561806082725525	True
77	0.8685587048530579	True
78	0.712816059589386	True
79	0.724970817565918	True
80	0.6320011019706726	True
81	0.6732751727104187	True
82	0.8256731033325195	True
83	0.7887991666793823	True
84	0.7182213664054871	True
85	0.8057588934898376	True
86	0.39727783203125	False
87	0.5046887397766113	True
88	0.9170196652412415	True
89	0.8609021306037903	True
90	0.9407157301902771	True
91	0.896248996257782	True
92	0.8399452567100525	True
93	0.9614834189414978	True
94	0.9185492396354675	True
95	0.8632952570915222	True
96	0.9006345868110657	True
97	0.3581227958202362	False
98	0.02714521996676922	False
99	0.007072241511195898	False
100	0.0030003637075424194	False
101	0.0032742430921643972	False
102	0.005773720797151327	False
103	0.003914731554687023	False
104	0.007450026459991932	False
105	0.005590253509581089	False
106	0.00802390743046999	False
107	0.006810291204601526	False
108	0.006682868581265211	False
109	0.008574606850743294	False
110	0.006849422585219145	False
111	0.00991539005190134	False
112	0.007564503699541092	False
113	0.007762499153614044	False
114	0.005702372640371323	False
115	0.005968128331005573	False
116	0.003599436953663826	False
117	0.004650738090276718	False
118	0.007509478833526373	False
119	0.007407694589346647	False
120	0.006770886480808258	False
121	0.00633805338293314	False
122	0.006458181422203779	False
123	0.008380708284676075	False
124	0.0067734732292592525	False
125	0.007643313147127628	False
126	0.003997582942247391	False
127	0.00310550001449883	False
128	0.004195708781480789	False
129	0.002901450963690877	False
130	0.0034201566595584154	False
131	0.0022605806589126587	False
132	0.002257132902741432	False
133	0.0025535926688462496	False
134	0.0029090752359479666	False
135	0.0028915577568113804	False
136	0.002420797711238265	False
137	0.002005012473091483	False
138	0.0018532573012635112	False
139	0.001495018950663507	False
140	0.0019388704095035791	False
141	0.001856901333667338	False
142	0.002045511035248637	False
143	0.003243459155783057	False
144	0.002937427256256342	False
145	0.0033731870353221893	False
146	0.0022284388542175293	False
147	0.0031185459811240435	False
148	0.003082546405494213	False
149	0.004474491812288761	False
150	0.003583847777917981	False
151	0.003184074303135276	False
152	0.0032975287176668644	False
153	0.0031099903862923384	False
154	0.0020707547664642334	False
155	0.0032469748985022306	False
156	0.00277371215634048	False
157	0.002484946046024561	False
158	0.0027419747784733772	False
159	0.0034954750444740057	False
160	0.0024444174487143755	False
161	0.00327921356074512	False
162	0.0032154731452465057	False
163	0.0024920208379626274	False
164	0.002881145104765892	False
165	0.004377399571239948	False
166	0.006898257881402969	False
167	0.006958106067031622	False
168	0.010038251988589764	False
169	0.013529988937079906	False
170	0.022713888436555862	False
171	0.038689080625772476	False
172	0.05937079340219498	False
173	0.06868300586938858	False
174	0.38349291682243347	False
175	0.6149956583976746	True
176	0.49379292130470276	False
177	0.5114327669143677	True
178	0.3021368682384491	False
179	0.3255375027656555	False
180	0.05397814139723778	False
181	0.020100761204957962	False
182	0.007471043150871992	False
183	0.004267330747097731	False
184	0.004571159835904837	False
185	0.003509876551106572	False
186	0.004463733173906803	False
187	0.005327640101313591	False
188	0.04069449380040169	False
189	0.10777058452367783	False
190	0.20805712044239044	False
191	0.24580545723438263	False
192	0.06525508314371109	False
