frame	prob
0	0.038767971098423004
1	0.053770530968904495
2	0.12430093437433243
3	0.1061389222741127
4	0.10557675361633301
5	0.08883315324783325
6	0.1717037707567215
7	0.190683513879776
8	0.10354175418615341
9	0.0903792679309845
10	0.1587352603673935
11	0.15108655393123627
12	0.1328626424074173
13	0.13084374368190765
14	0.15447674691677094
15	0.1853361874818802
16	0.4039955139160156
17	0.31426185369491577
18	0.13969357311725616
19	0.40851661562919617
20	0.4448983371257782
21	0.6273512244224548
22	0.7948071956634521
23	0.6984266042709351
24	0.7286556363105774
25	0.6245606541633606
26	0.6150376200675964
27	0.4925116002559662
28	0.757270336151123
29	0.6702041029930115
30	0.7074221968650818
31	0.6725670695304871
32	0.45257216691970825
33	0.7323351502418518
34	0.7124942541122437
35	0.7502350211143494
36	0.6295265555381775
37	0.7294461131095886
38	0.8272680640220642
39	0.9137081503868103
40	0.7949384450912476
41	0.6605704426765442
42	0.7965534329414368
43	0.6744537353515625
44	0.5289603471755981
45	0.5695968866348267
46	0.5610170364379883
47	0.5844502449035645
48	0.45162686705589294
49	0.17732968926429749
50	0.39314955472946167
51	0.4983679950237274
52	0.24793139100074768
53	0.15121813118457794
54	0.1611965149641037
55	0.21004235744476318
56	0.1506086140871048
57	0.04817376658320427
58	0.08103015273809433
59	0.05975918844342232
60	0.037592072039842606
61	0.0781368538737297
62	0.054158516228199005
63	0.06469570845365524
64	0.05352434515953064
65	0.0575287826359272
66	0.06596400588750839
67	0.0390145443379879
68	0.04313192516565323
69	0.03185373544692993
70	0.018970008939504623
71	0.027931375429034233
72	0.017091309651732445
73	0.01955953612923622
74	0.01938067190349102
75	0.018084153532981873
76	0.02045683190226555
77	0.032406892627477646
78	0.03388599678874016
79	0.04191933944821358
80	0.04230310395359993
81	0.0542282834649086
82	0.05684470012784004
83	0.027380341663956642
84	0.03814863786101341
85	0.05394655093550682
86	0.038223523646593094
87	0.06891205161809921
88	0.09172338247299194
89	0.1864355206489563
90	0.431400865316391
91	0.11293133348226547
92	0.2233084887266159
93	0.27907857298851013
94	0.3272489607334137
95	0.2801121771335602
96	0.36463165283203125
97	0.26427793502807617
98	0.27917423844337463
99	0.31980472803115845
100	0.3805540204048157
101	0.39770957827568054
102	0.21500253677368164
103	0.3528745174407959
104	0.07261902093887329
105	0.13061726093292236
106	0.05558929964900017
107	0.1743091344833374
108	0.15972648561000824
109	0.09812577068805695
110	0.17120006680488586
111	0.17200559377670288
112	0.24239838123321533
113	0.11099522560834885
114	0.18413092195987701
115	0.24857687950134277
116	0.10199067741632462
117	0.11049067974090576
118	0.20457430183887482
119	0.10247641801834106
120	0.03903685882687569
121	0.037629127502441406
122	0.009087306447327137
123	0.008925053291022778
124	0.03059401549398899
125	0.10355334728956223
126	0.1619955450296402
127	0.124874047935009
128	0.11108513921499252
129	0.08655446767807007
130	0.03469092398881912
131	0.02744344435632229
132	0.03512709215283394
133	0.013188096694648266
134	0.008877629414200783
135	0.00796515867114067
136	0.008059675805270672
137	0.008852916769683361
138	0.011950035579502583
139	0.010387206450104713
140	0.009992420673370361
141	0.010308501310646534
142	0.010192494839429855
143	0.013495584018528461
144	0.011936796829104424
145	0.011738697998225689
146	0.010975733399391174
147	0.009874301962554455
148	0.011029093526303768
149	0.011910510249435902
150	0.009882818907499313
151	0.013357329182326794
152	0.01214816328138113
153	0.014038684777915478
154	0.01556116621941328
155	0.015830479562282562
156	0.012280370108783245
157	0.01051630824804306
158	0.010560109280049801
159	0.011031894944608212
160	0.00931462924927473
161	0.009320534765720367
162	0.0071581280790269375
163	0.006561783608049154
164	0.0063826157711446285
165	0.005892852786928415
166	0.005889736115932465
167	0.005175034049898386
168	0.006151224952191114
169	0.005435187369585037
170	0.006295497063547373
171	0.005627227481454611
172	0.005826264154165983
173	0.006730758585035801
174	0.006155841052532196
175	0.004955310374498367
176	0.004938053898513317
177	0.005175314377993345
178	0.005629443563520908
179	0.005239193327724934
180	0.006020271219313145
181	0.004363279789686203
182	0.005710308905690908
183	0.00457938713952899
184	0.003921590279787779
185	0.005019294563680887
186	0.005509442184120417
187	0.005044805351644754
188	0.0051293326541781425
189	0.004413596820086241
190	0.0037408818025141954
191	0.004836599808186293
192	0.004429326858371496
193	0.004062463995069265
194	0.004003953188657761
195	0.00455843610689044
196	0.005133260041475296
197	0.0052953618578612804
198	0.00572565570473671
199	0.005813909228891134
200	0.005216497462242842
201	0.005915417335927486
202	0.006076262332499027
203	0.008845217525959015
204	0.00861951895058155
205	0.012018997222185135
206	0.014181292615830898
207	0.012190188281238079
208	0.011256490834057331
209	0.014391076751053333
210	0.010965444147586823
211	0.013284009881317616
212	0.01487367507070303
213	0.020232271403074265
214	0.011377870105206966
215	0.01583898812532425
216	0.013626746833324432
217	0.010741102509200573
218	0.011630753986537457
219	0.010285690426826477
220	0.011094904504716396
221	0.013170006684958935
222	0.009943561628460884
223	0.01310905534774065
224	0.01072270143777132
225	0.01806572452187538
226	0.014065811410546303
227	0.015597200952470303
228	0.017330599948763847
229	0.014157535508275032
230	0.014161154627799988
231	0.015835504978895187
232	0.014146232977509499
233	0.012574741616845131
234	0.016320208087563515
235	0.013185950927436352
236	0.01184306014329195
237	0.01567203365266323
238	0.018831942230463028
239	0.01222334522753954
240	0.016504650935530663
241	0.010558895766735077
242	0.008522327058017254
243	0.010091065429151058
244	0.012741154991090298
245	0.011879823170602322
246	0.028535252436995506
247	0.035491760820150375
248	0.03479249030351639
249	0.027080422267317772
250	0.04407208412885666
251	0.055505067110061646
252	0.03279251232743263
253	0.03507573902606964
254	0.03842766582965851
255	0.06323345005512238
256	0.11205948889255524
257	0.12932126224040985
258	0.1198340579867363
259	0.05055228993296623
260	0.03342963382601738
261	0.028416438028216362
262	0.04858902096748352
263	0.03199193626642227
264	0.039485085755586624
265	0.0569487027823925
266	0.08697473257780075
267	0.07059389352798462
268	0.1181923896074295
269	0.07250602543354034
270	0.06493594497442245
271	0.11885225027799606
272	0.19022391736507416
273	0.16231000423431396
274	0.08648796379566193
275	0.04728826507925987
276	0.0363827720284462
277	0.012794329784810543
278	0.01167235802859068
279	0.01055940892547369
280	0.005976907443255186
281	0.007872037589550018
282	0.007461260538548231
283	0.008537117391824722
284	0.008032850921154022
285	0.0074681490659713745
286	0.008338304236531258
287	0.009053301066160202
288	0.007183741312474012
289	0.007759712636470795
290	0.008477918803691864
291	0.007658618036657572
292	0.009291390888392925
293	0.00780774001032114
294	0.009345503523945808
295	0.008894232101738453
296	0.008611141704022884
297	0.008352530188858509
298	0.009425121359527111
299	0.007990836165845394
300	0.006556267384439707
301	0.0073750438168644905
302	0.006877623498439789
303	0.006592325400561094
304	0.0055028414353728294
305	0.005900735501199961
306	0.005862902849912643
307	0.007117037661373615
308	0.006142897065728903
309	0.014182065613567829
310	0.05163130909204483
311	0.007927452214062214
312	0.007299354765564203
313	0.007705238647758961
314	0.008729217574000359
315	0.008563833311200142
316	0.007606183178722858
317	0.008003903552889824
318	0.009992352686822414
319	0.009859184734523296
320	0.009667119942605495
321	0.012176437303423882
322	0.00836490374058485
323	0.009213042445480824
324	0.006915511097759008
325	0.007979650981724262
326	0.0063611725345253944
327	0.007372732739895582
328	0.006887262221425772
329	0.007624165620654821
330	0.0076444982551038265
331	0.007842674851417542
332	0.008382108993828297
333	0.005787631031125784
334	0.0064637125469744205
335	0.0053988490253686905
336	0.005165995564311743
337	0.006653951946645975
338	0.004944270011037588
339	0.00515365693718195
340	0.005611724220216274
341	0.005525866989046335
342	0.0048331948928534985
343	0.00526124332100153
344	0.006401954684406519
345	0.007138371467590332
346	0.00638519087806344
347	0.006701332982629538
348	0.006467312574386597
349	0.00701063871383667
350	0.006862662732601166
351	0.0063594067469239235
352	0.005384239833801985
353	0.0065724835731089115
354	0.005808338522911072
355	0.00595999276265502
356	0.006385414395481348
357	0.006197900511324406
358	0.006851880345493555
359	0.007410179823637009
360	0.007886061444878578
361	0.006666609086096287
362	0.007011233363300562
363	0.007185532245784998
364	0.006748578045517206
365	0.0066285403445363045
366	0.006912994664162397
367	0.007525966968387365
368	0.007107272744178772
369	0.006004206836223602
370	0.006898559629917145
371	0.007532385177910328
372	0.006622880231589079
373	0.007805831264704466
374	0.007780747022479773
375	0.007742633577436209
376	0.009417965076863766
377	0.010428149253129959
378	0.008798664435744286
379	0.00812952034175396
380	0.006162773817777634
381	0.008101224899291992
382	0.010060224682092667
383	0.009837202727794647
384	0.014269414357841015
385	0.03384779021143913
386	0.01579958014190197
387	0.02932143211364746
388	0.03096601366996765
389	0.036558788269758224
390	0.10392063111066818
391	0.09096522629261017
392	0.4436355531215668
393	0.4380974769592285
394	0.42916998267173767
395	0.2458907663822174
396	0.11003301292657852
397	0.07734353840351105
398	0.06633919477462769
399	0.03309670835733414
400	0.020466556772589684
401	0.021417060866951942
402	0.024624420329928398
403	0.03297453746199608
404	0.0818186029791832
405	0.12673702836036682
406	0.07179822772741318
407	0.06210534647107124
408	0.013825288973748684
409	0.011603674851357937
410	0.009676882065832615
411	0.010405784472823143
412	0.010372166521847248
413	0.009249858558177948
414	0.008868375793099403
415	0.008698362857103348
416	0.009248511865735054
417	0.010775439441204071
418	0.05056225135922432
419	0.6620388031005859
420	0.7051847577095032
421	0.7589641809463501
422	0.7242459654808044
423	0.694608211517334
424	0.5553099513053894
425	0.7969382405281067
426	0.6688606142997742
427	0.49414244294166565
428	0.5636412501335144
429	0.30697184801101685
430	0.1381281614303589
431	0.08203072845935822
432	0.02940955199301243
433	0.02627011016011238
434	0.0777372419834137
435	0.5425798892974854
436	0.7720354199409485
437	0.7788946032524109
438	0.6173791289329529
439	0.5856178402900696
440	0.7342727184295654
441	0.6488693356513977
442	0.6703991889953613
443	0.7194216251373291
444	0.5696768760681152
445	0.6296917796134949
446	0.6622957587242126
447	0.46357735991477966
448	0.6229552626609802
449	0.6546493172645569
450	0.38602280616760254
451	0.5742905139923096
452	0.6542419791221619
453	0.6848810315132141
454	0.5794710516929626
455	0.6619383096694946
456	0.4982328414916992
457	0.3838455379009247
458	0.3915874660015106
459	0.4691668450832367
460	0.7235619425773621
461	0.42716842889785767
462	0.4576270282268524
463	0.32001805305480957
464	0.5583783388137817
465	0.36093005537986755
466	0.25132861733436584
467	0.3819500207901001
468	0.3269331455230713
469	0.2949838638305664
470	0.13185730576515198
471	0.02518329955637455
472	0.03058476559817791
473	0.030570924282073975
474	0.05968087539076805
475	0.044026270508766174
476	0.06115728244185448
477	0.10443858057260513
478	0.07934955507516861
479	0.09592431038618088
480	0.13653242588043213
481	0.15239451825618744
482	0.3234888017177582
483	0.1310313194990158
484	0.20174594223499298
485	0.12293165177106857
486	0.05368300899863243
487	0.010592075064778328
488	0.008597263135015965
489	0.008698922581970692
490	0.009235851466655731
491	0.009251116774976254
492	0.04271314665675163
493	0.033075034618377686
494	0.017160620540380478
495	0.010028771124780178
496	0.008904517628252506
497	0.00783240981400013
498	0.008719797246158123
499	0.009106135927140713
500	0.006878394167870283
501	0.007320420350879431
502	0.007262748666107655
503	0.007255767937749624
504	0.0073042274452745914
505	0.007307691965252161
506	0.008424874395132065
507	0.007588495500385761
508	0.009000440128147602
509	0.008346489630639553
510	0.008970576338469982
511	0.007442346308380365
512	0.00880442839115858
513	0.006772926542907953
514	0.008910930715501308
515	0.007805943489074707
516	0.009492618031799793
517	0.010211918503046036
518	0.00926616508513689
519	0.01100082602351904
520	0.01172624807804823
521	0.011934846639633179
522	0.008268755860626698
523	0.008351901546120644
524	0.007225014269351959
525	0.006601668894290924
526	0.007283881306648254
527	0.007670989725738764
528	0.00643187714740634
529	0.006774503272026777
530	0.005684628617018461
531	0.007632025983184576
532	0.008746865205466747
533	0.007499150466173887
534	0.006544709205627441
535	0.007577837444841862
536	0.00705429632216692
537	0.00826809648424387
538	0.005642381031066179
539	0.00589056545868516
540	0.006869541015475988
541	0.006810189690440893
542	0.0058701010420918465
543	0.005813452415168285
544	0.004184834659099579
545	0.007151608355343342
546	0.0046693398617208
547	0.006314191501587629
548	0.0053351144306361675
549	0.0047859675250947475
550	0.005165345501154661
551	0.004756908398121595
552	0.005838672164827585
553	0.004899154417216778
554	0.00488048791885376
555	0.0045890798792243
556	0.004748483654111624
557	0.004338450729846954
558	0.004124682862311602
559	0.005840830504894257
560	0.006385631859302521
561	0.006053438875824213
562	0.007773240562528372
563	0.006422995124012232
564	0.007049077656120062
