frame	prob
0	0.9835150837898254
1	0.563447117805481
2	0.791500985622406
3	0.904629647731781
4	0.9401729702949524
5	0.843129575252533
6	0.8312528729438782
7	0.8092483878135681
8	0.742209255695343
9	0.7091758847236633
10	0.5688530206680298
11	0.46532416343688965
12	0.8477429747581482
13	0.9329118728637695
14	0.9519606828689575
15	0.938398003578186
16	0.7875322699546814
17	0.7777058482170105
18	0.6084897518157959
19	0.5683802962303162
20	0.3141466975212097
21	0.47718945145606995
22	0.7025765776634216
23	0.7202350497245789
24	0.5844405889511108
25	0.6434116959571838
26	0.7319296598434448
27	0.8527965545654297
28	0.7842894792556763
29	0.588032066822052
30	0.7287272810935974
31	0.6708881855010986
32	0.911153256893158
33	0.8196509480476379
34	0.6086717844009399
35	0.7588781714439392
36	0.7803935408592224
37	0.7164129614830017
38	0.6679460406303406
39	0.7423257827758789
40	0.7923248410224915
41	0.8256233334541321
42	0.7911853790283203
43	0.7171375155448914
44	0.8196821212768555
45	0.6762949228286743
46	0.5944724082946777
47	0.6814522743225098
48	0.7934946417808533
49	0.7221452593803406
50	0.6619107127189636
51	0.7920457124710083
52	0.8453068137168884
53	0.791442334651947
54	0.7793459892272949
55	0.8006466031074524
56	0.6942455172538757
57	0.7972067594528198
58	0.7976173758506775
59	0.805036187171936
60	0.8557097315788269
61	0.7486896514892578
62	0.7136029601097107
63	0.7464835047721863
64	0.8541328310966492
65	0.7653873562812805
66	0.748208224773407
67	0.8102800250053406
68	0.7686764001846313
69	0.858433723449707
70	0.8229382634162903
71	0.9425252079963684
72	0.9145221710205078
73	0.7950167059898376
74	0.782078742980957
75	0.5907586812973022
76	0.6526201367378235
77	0.5495553016662598
78	0.5042128562927246
79	0.5063247084617615
80	0.5750727653503418
81	0.7770715355873108
82	0.7709339261054993
83	0.7525603175163269
84	0.7124719619750977
85	0.8392983675003052
86	0.8636837005615234
87	0.7556687593460083
88	0.8616289496421814
89	0.8995853662490845
90	0.8745128512382507
91	0.8363621830940247
92	0.9071735739707947
93	0.8536850214004517
94	0.9076165556907654
95	0.9143892526626587
96	0.858243465423584
97	0.8894848227500916
98	0.8864116668701172
99	0.8362421989440918
100	0.8172454833984375
101	0.03601117059588432
102	0.009833446703851223
103	0.007807147689163685
104	0.014083239249885082
105	0.012930440716445446
106	0.013015213422477245
107	0.014879107475280762
108	0.011560455895960331
109	0.01698586717247963
110	0.014009634964168072
111	0.013678259216248989
112	0.013167995028197765
113	0.014282912015914917
114	0.013409680686891079
115	0.012741193175315857
116	0.015101799741387367
117	0.01537258829921484
118	0.012877567671239376
119	0.011201257817447186
120	0.041797127574682236
121	0.02299751341342926
122	0.01224476844072342
123	0.012762586586177349
124	0.011302386410534382
125	0.01097883190959692
126	0.01082003116607666
127	0.012881479226052761
128	0.013738813810050488
129	0.011358662508428097
130	0.012881181202828884
131	0.010588819161057472
132	0.016131727024912834
133	0.014569282531738281
134	0.01666470803320408
135	0.01447858102619648
136	0.015777861699461937
137	0.014997780323028564
138	0.019224340096116066
139	0.019951505586504936
140	0.01615162007510662
141	0.016133656725287437
142	0.015852298587560654
143	0.008127371780574322
144	0.014237782917916775
145	0.02721419371664524
146	0.020685607567429543
147	0.012960483320057392
148	0.009068986400961876
149	0.00942047219723463
150	0.008129331283271313
151	0.010213901288807392
152	0.009229767136275768
153	0.009962727315723896
154	0.010333660058677197
