frame	prob
0	0.004737199749797583
1	0.004024141933768988
2	0.004344398621469736
3	0.004085739608854055
4	0.004207777790725231
5	0.003744160057976842
6	0.003957338631153107
7	0.003762010484933853
8	0.0036907088942825794
9	0.0031795145478099585
10	0.003824712475761771
11	0.0031583879608660936
12	0.003924238029867411
13	0.0028451101388782263
14	0.00308597250841558
15	0.002572070574387908
16	0.00361213949508965
17	0.0034904086496680975
18	0.003425785107538104
19	0.0038651402574032545
20	0.0033587203361094
21	0.0036160380113869905
22	0.0043597593903541565
23	0.0031646774150431156
24	0.004264313727617264
25	0.003978004213422537
26	0.00450797937810421
27	0.004744407255202532
28	0.003991641104221344
29	0.005109461490064859
30	0.0047982907854020596
31	0.006475235801190138
32	0.0053488099947571754
33	0.008720417506992817
34	0.006203982979059219
35	0.007838810794055462
36	0.005729996133595705
37	0.007748352829366922
38	0.007787361741065979
39	0.00707965949550271
40	0.009215700440108776
41	0.00820668414235115
42	0.009917224757373333
43	0.007741044741123915
44	0.009589442983269691
45	0.01022578775882721
46	0.012501093558967113
47	0.007511351257562637
48	0.006206729914993048
49	0.007842021062970161
50	0.007485585752874613
51	0.011548406444489956
52	0.013921746984124184
53	0.013149348087608814
54	0.010827905498445034
55	0.022969653829932213
56	0.01833285763859749
57	0.026463819667696953
58	0.042613159865140915
59	0.030098218470811844
60	0.057114291936159134
61	0.08282027393579483
62	0.069550059735775
63	0.2577471435070038
64	0.19536161422729492
65	0.5677916407585144
66	0.4657209515571594
67	0.2994786202907562
68	0.31872135400772095
69	0.43326815962791443
70	0.5398259162902832
71	0.7735617160797119
72	0.6831216812133789
73	0.6029554605484009
74	0.7326611280441284
75	0.7592880129814148
76	0.7340870499610901
77	0.6348691582679749
78	0.6456161141395569
79	0.7412893176078796
80	0.8564428687095642
81	0.879913330078125
82	0.6836854815483093
83	0.6508342027664185
84	0.5164577960968018
85	0.7366769909858704
86	0.6982938647270203
87	0.6448105573654175
88	0.6380845904350281
89	0.7039739489555359
90	0.8490066528320312
91	0.759971559047699
