frame	prob	informative
0	0.0056653013452887535	False
1	0.00633124029263854	False
2	0.006607482675462961	False
3	0.007483747787773609	False
4	0.008387519977986813	False
5	0.008909420110285282	False
6	0.0070616453886032104	False
7	0.005270799156278372	False
8	0.004431761335581541	False
9	0.004795352462679148	False
10	0.004784128163009882	False
11	0.005710016470402479	False
12	0.005635521840304136	False
13	0.005161941517144442	False
14	0.005582322832196951	False
15	0.005451399367302656	False
16	0.004192995373159647	False
17	0.004114523064345121	False
18	0.004338198807090521	False
19	0.00339449942111969	False
20	0.006754008121788502	False
21	0.0046483492478728294	False
22	0.00807084422558546	False
23	0.0057866838760674	False
24	0.005430825520306826	False
25	0.005295743700116873	False
26	0.005295311100780964	False
27	0.008820928633213043	False
28	0.007134684827178717	False
29	0.00467340974137187	False
30	0.005193771328777075	False
31	0.00536975497379899	False
32	0.004994564689695835	False
33	0.004486766643822193	False
34	0.005139648448675871	False
35	0.009500499814748764	False
36	0.006050662137567997	False
37	0.008225470781326294	False
38	0.009181625209748745	False
39	0.007229340262711048	False
40	0.00688139209523797	False
41	0.00631460128352046	False
42	0.005316008813679218	False
43	0.006021022330969572	False
44	0.006765975151211023	False
45	0.0034052233677357435	False
46	0.004163308534771204	False
47	0.004358665551990271	False
48	0.007620145566761494	False
49	0.004886469338089228	False
50	0.00534909637644887	False
51	0.00408468022942543	False
52	0.0035817623138427734	False
53	0.002399247605353594	False
54	0.003079591551795602	False
55	0.0016141518717631698	False
56	0.0023333381395787	False
57	0.0027508281636983156	False
58	0.0028492510318756104	False
59	0.00533333932980895	False
60	0.007512671407312155	False
61	0.004584319423884153	False
62	0.007719830609858036	False
63	0.0033067078329622746	False
64	0.0026169479824602604	False
65	0.0017298534512519836	False
66	0.0006934545235708356	False
67	0.0011466845171526074	False
68	0.001510990085080266	False
69	0.0011327887186780572	False
70	0.0017493227496743202	False
71	0.0025885957293212414	False
72	0.0015863750595599413	False
73	0.0015814919024705887	False
74	0.0012431313516572118	False
75	0.001237192191183567	False
76	0.0019134258618578315	False
77	0.0017221951857209206	False
78	0.0019487774698063731	False
79	0.0011953456560149789	False
80	0.0020099447574466467	False
81	0.0017832324374467134	False
82	0.0018728378927335143	False
83	0.002256188541650772	False
84	0.002263215836137533	False
85	0.0038651563227176666	False
86	0.008116810582578182	False
87	0.0030835375655442476	False
88	0.0026948065496981144	False
89	0.0023041937965899706	False
90	0.0047378623858094215	False
91	0.0012173271970823407	False
92	0.0023324317298829556	False
93	0.00155558658298105	False
94	0.0016524629900231957	False
95	0.0011582713341340423	False
96	0.002263859612867236	False
97	0.0053597502410411835	False
98	0.0021655827295035124	False
99	0.004005362745374441	False
100	0.0035988823510706425	False
101	0.005635435227304697	False
102	0.0025826527271419764	False
103	0.004113601054996252	False
104	0.011660715565085411	False
105	0.030436068773269653	False
106	0.022723330184817314	False
107	0.010763619095087051	False
108	0.004821229260414839	False
109	0.0008844290277920663	False
110	0.0008382374653592706	False
111	0.0026712738908827305	False
112	0.0010324176400899887	False
113	0.0017521098488941789	False
114	0.0024285055696964264	False
115	0.005887137260288	False
116	0.003287694649770856	False
117	0.0030148711521178484	False
118	0.00524573540315032	False
119	0.014047043398022652	False
120	0.008520691655576229	False
121	0.0055711413733661175	False
122	0.007660958915948868	False
123	0.00995432399213314	False
124	0.007626567967236042	False
125	0.004888335708528757	False
126	0.011272960342466831	False
127	0.005245471838861704	False
128	0.005372150335460901	False
129	0.0034770064521580935	False
130	0.004526081494987011	False
131	0.004963720683008432	False
132	0.0050657340325415134	False
133	0.003594034118577838	False
134	0.005077793728560209	False
135	0.006896037608385086	False
136	0.004657038953155279	False
137	0.006554300431162119	False
138	0.006075175013393164	False
139	0.004016512539237738	False
140	0.006959281861782074	False
141	0.004063797648996115	False
142	0.005230930168181658	False
143	0.002488254802301526	False
144	0.0026152310892939568	False
145	0.0020029572769999504	False
146	0.0028310916386544704	False
147	0.0018675510073080659	False
148	0.002779173431918025	False
149	0.0018604666693136096	False
150	0.002333938842639327	False
151	0.0025521169882267714	False
152	0.001989424927160144	False
153	0.001072416896931827	False
154	0.005274731200188398	False
155	0.0032435923349112272	False
156	0.002150722313672304	False
157	0.0024679626803845167	False
158	0.002863155445083976	False
159	0.0029750613030046225	False
160	0.0013120336225256324	False
161	0.001421795692294836	False
162	0.0016928997356444597	False
163	0.001639947877265513	False
164	0.002131419023498893	False
165	0.0030016207601875067	False
166	0.0034030096139758825	False
167	0.002306772628799081	False
168	0.0018696192419156432	False
169	0.003776902100071311	False
170	0.00863382127135992	False
171	0.023293009027838707	False
172	0.07712195813655853	False
173	0.10130643099546432	False
174	0.060126978904008865	False
175	0.06258728355169296	False
176	0.14958195388317108	False
177	0.07082437723875046	False
178	0.1777055710554123	False
179	0.06447919458150864	False
180	0.01973913423717022	False
181	0.015462380833923817	False
182	0.023533660918474197	False
183	0.010548628866672516	False
184	0.03681285306811333	False
185	0.005739494226872921	False
186	0.008466453291475773	False
187	0.00403225002810359	False
188	0.002838986460119486	False
189	0.004092782270163298	False
190	0.0025054109282791615	False
191	0.0059376307763159275	False
192	0.007666119374334812	False
193	0.08118022978305817	False
194	0.10069431364536285	False
195	0.7302616834640503	True
196	0.7006180882453918	True
197	0.7820590734481812	True
198	0.9070454835891724	True
199	0.9458592534065247	True
200	0.9795799255371094	True
201	0.9569545984268188	True
202	0.957218587398529	True
203	0.8638951182365417	True
204	0.8880358934402466	True
205	0.7880280017852783	True
206	0.8792158365249634	True
207	0.9413908123970032	True
208	0.9767865538597107	True
209	0.9954105615615845	True
210	0.9872120022773743	True
211	0.9628006219863892	True
212	0.8912191390991211	True
213	0.840948760509491	True
214	0.6348316669464111	True
215	0.3808683454990387	False
216	0.38767462968826294	False
217	0.4912194311618805	False
218	0.8204294443130493	True
219	0.9653153419494629	True
220	0.9268827438354492	True
221	0.976021945476532	True
222	0.990696907043457	True
223	0.9874193072319031	True
224	0.9935943484306335	True
225	0.9868213534355164	True
226	0.982050359249115	True
227	0.9660636782646179	True
228	0.9585689902305603	True
229	0.9747306704521179	True
230	0.9782000780105591	True
231	0.9827006459236145	True
232	0.9735869765281677	True
233	0.9916526675224304	True
234	0.9888584017753601	True
235	0.9971278309822083	True
236	0.995608925819397	True
237	0.9974567294120789	True
238	0.9959785342216492	True
239	0.9952713847160339	True
240	0.9890327453613281	True
241	0.9855508804321289	True
242	0.9834631085395813	True
243	0.9846031069755554	True
244	0.975599467754364	True
245	0.9858860373497009	True
246	0.992211639881134	True
247	0.9941890835762024	True
248	0.9941956400871277	True
249	0.9906935095787048	True
250	0.9743553996086121	True
251	0.958680272102356	True
252	0.9773620963096619	True
253	0.9890890121459961	True
254	0.9900277256965637	True
255	0.984242856502533	True
256	0.9793909192085266	True
257	0.9836551547050476	True
258	0.9821252822875977	True
259	0.9251388907432556	True
260	0.9822878241539001	True
261	0.9969236254692078	True
262	0.9872725605964661	True
263	0.9868240356445312	True
264	0.9831680655479431	True
265	0.9926188588142395	True
266	0.9543563723564148	True
267	0.9760273098945618	True
268	0.9944379925727844	True
269	0.9941413998603821	True
270	0.9906737208366394	True
271	0.9968699812889099	True
272	0.9902377128601074	True
273	0.9958013892173767	True
274	0.9847068190574646	True
275	0.1037309393286705	False
276	0.01938200369477272	False
277	0.010086188092827797	False
278	0.022834107279777527	False
279	0.06174874305725098	False
280	0.01835632137954235	False
281	0.01254379190504551	False
282	0.004626331850886345	False
283	0.004251889884471893	False
284	0.0033551049418747425	False
285	0.002593360608443618	False
286	0.004780368413776159	False
287	0.00962675642222166	False
288	0.0023054778575897217	False
289	0.0036180936731398106	False
290	0.0061133564449846745	False
291	0.007002994418144226	False
292	0.004558039829134941	False
293	0.014320008456707	False
294	0.006499127950519323	False
295	0.037726208567619324	False
296	0.5801288485527039	True
297	0.8314523100852966	True
298	0.6872915625572205	True
299	0.2626924514770508	False
300	0.07851406186819077	False
301	0.08307020366191864	False
302	0.03625742718577385	False
303	0.02096247486770153	False
304	0.021664639934897423	False
305	0.00881574209779501	False
306	0.014711442403495312	False
307	0.08977537602186203	False
308	0.8383150100708008	True
309	0.8955521583557129	True
310	0.993880569934845	True
311	0.9948803186416626	True
312	0.9939138293266296	True
313	0.9971623420715332	True
314	0.993748664855957	True
315	0.9936525225639343	True
316	0.9895738959312439	True
317	0.9760867953300476	True
318	0.974301278591156	True
319	0.9856765866279602	True
320	0.9793775677680969	True
321	0.9755293130874634	True
322	0.9683167338371277	True
323	0.9783175587654114	True
324	0.9840276837348938	True
325	0.9830793738365173	True
326	0.9913205504417419	True
327	0.9881346821784973	True
328	0.9806093573570251	True
329	0.9782692193984985	True
330	0.9928047060966492	True
331	0.9948334693908691	True
332	0.9904603958129883	True
333	0.9938663840293884	True
334	0.9860685467720032	True
335	0.9852072596549988	True
336	0.9898861050605774	True
337	0.9969356656074524	True
338	0.9963849186897278	True
339	0.9851081967353821	True
340	0.9967565536499023	True
341	0.9858631491661072	True
342	0.9933978319168091	True
343	0.976476788520813	True
344	0.9794250726699829	True
345	0.9850950241088867	True
346	0.9855448603630066	True
347	0.9876016974449158	True
348	0.9910562634468079	True
349	0.9844134449958801	True
350	0.9685696959495544	True
351	0.9849239587783813	True
352	0.9836689233779907	True
353	0.9820955395698547	True
354	0.9971828460693359	True
355	0.9827165603637695	True
356	0.9816474914550781	True
357	0.9851182103157043	True
358	0.9614419937133789	True
359	0.9756408929824829	True
360	0.9752711653709412	True
361	0.952406108379364	True
362	0.9062873721122742	True
363	0.6063408255577087	True
364	0.008005717769265175	False
365	0.002024162095040083	False
366	0.003253953531384468	False
367	0.0030117619317024946	False
368	0.0026591443456709385	False
369	0.012004879303276539	False
370	0.009269783273339272	False
371	0.679164469242096	True
372	0.990851104259491	True
373	0.9785138368606567	True
374	0.9929414987564087	True
375	0.9595176577568054	True
376	0.9494346976280212	True
377	0.884133517742157	True
378	0.6417788863182068	True
379	0.2550659775733948	False
380	0.02534976601600647	False
381	0.12483716011047363	False
382	0.4632733464241028	False
383	0.8951608538627625	True
384	0.8849560022354126	True
385	0.8996217846870422	True
386	0.9564458131790161	True
387	0.9604858756065369	True
388	0.9884936213493347	True
389	0.9844639897346497	True
390	0.9683012962341309	True
391	0.9700821042060852	True
392	0.9699892401695251	True
393	0.9683046340942383	True
394	0.9738796353340149	True
395	0.9828295111656189	True
396	0.9753719568252563	True
397	0.9872143864631653	True
398	0.982164204120636	True
399	0.9936728477478027	True
400	0.9774852991104126	True
401	0.9867905974388123	True
402	0.9863972067832947	True
403	0.9893590211868286	True
404	0.016211824491620064	False
405	0.014638389460742474	False
406	0.029203636571764946	False
407	0.0391591377556324	False
408	0.024152535945177078	False
409	0.02813742496073246	False
410	0.02094431035220623	False
411	0.013751978985965252	False
412	0.0098642623052001	False
413	0.004498369991779327	False
414	0.002822769107297063	False
415	0.0031806298065930605	False
416	0.0031973272562026978	False
417	0.0048725600354373455	False
418	0.035889144986867905	False
419	0.2520490288734436	False
420	0.0190664641559124	False
421	0.00303445546887815	False
422	0.002950237365439534	False
423	0.0024876634124666452	False
424	0.0016185150016099215	False
425	0.0025118354242295027	False
426	0.005247307009994984	False
427	0.13202893733978271	False
428	0.27516865730285645	False
429	0.29345735907554626	False
430	0.5381340384483337	True
431	0.8967304229736328	True
432	0.7400926351547241	True
433	0.7165513634681702	True
434	0.7505941390991211	True
435	0.8287948966026306	True
436	0.4991666376590729	False
437	0.4328795075416565	False
