frame	prob	informative
0	0.006651285570114851	False
1	0.006809357553720474	False
2	0.006546877324581146	False
3	0.007722729351371527	False
4	0.005593384150415659	False
5	0.00826939009130001	False
6	0.007620548363775015	False
7	0.008983752690255642	False
8	0.0073439194820821285	False
9	0.0069497558288276196	False
10	0.0062697650864720345	False
11	0.007754512131214142	False
12	0.017638303339481354	False
13	0.00761610409244895	False
14	0.008098747581243515	False
15	0.012555991299450397	False
16	0.0076478044502437115	False
17	0.00901109166443348	False
18	0.008235405199229717	False
19	0.009908923879265785	False
20	0.005853451322764158	False
21	0.00605398416519165	False
22	0.0067152357660233974	False
23	0.006998641882091761	False
24	0.009609036147594452	False
25	0.006741797085851431	False
26	0.006028170697391033	False
27	0.005984338000416756	False
28	0.006052847485989332	False
29	0.0073942216113209724	False
30	0.005995414685457945	False
31	0.005591610912233591	False
32	0.005329546518623829	False
33	0.005704449024051428	False
34	0.00635689590126276	False
35	0.005547560751438141	False
36	0.006691054441034794	False
37	0.004171441774815321	False
38	0.006651583593338728	False
39	0.005214504431933165	False
40	0.005684997886419296	False
41	0.00571975065395236	False
42	0.007689706981182098	False
43	0.006847490556538105	False
44	0.008367066271603107	False
45	0.004306080285459757	False
46	0.004658605437725782	False
47	0.0048255654983222485	False
48	0.0024208517279475927	False
49	0.002808142453432083	False
50	0.001885699457488954	False
51	0.003591046202927828	False
52	0.00831772293895483	False
53	0.01219254918396473	False
54	0.01708279363811016	False
55	0.017343565821647644	False
56	0.008871599100530148	False
57	0.002836759900674224	False
58	0.008835118263959885	False
59	0.004721118602901697	False
60	0.005677402950823307	False
61	0.005287176929414272	False
62	0.0071673886850476265	False
63	0.005663821939378977	False
64	0.008646699599921703	False
65	0.003977747168391943	False
66	0.0031676318030804396	False
67	0.004686673637479544	False
68	0.0021283915266394615	False
69	0.0061144777573645115	False
70	0.005007768515497446	False
71	0.004369123373180628	False
72	0.004808148834854364	False
73	0.004155951552093029	False
74	0.005123295355588198	False
75	0.005364605691283941	False
76	0.006528526544570923	False
77	0.0079120472073555	False
78	0.010627149604260921	False
79	0.02069111540913582	False
80	0.005243668332695961	False
81	0.006748173385858536	False
82	0.008820461109280586	False
83	0.008062466979026794	False
84	0.009334432892501354	False
85	0.006728009786456823	False
86	0.0068013789132237434	False
87	0.01058222260326147	False
88	0.005180174019187689	False
89	0.014857041649520397	False
90	0.017582742497324944	False
91	0.004381635691970587	False
92	0.004369931295514107	False
93	0.0042882333509624004	False
94	0.003469670657068491	False
95	0.007493352983146906	False
96	0.011041252873837948	False
97	0.009016091004014015	False
98	0.007931061089038849	False
99	0.0064020357094705105	False
100	0.0082953916862607	False
101	0.005348524544388056	False
102	0.005867235828191042	False
103	0.005118507891893387	False
104	0.006947193294763565	False
105	0.004681432619690895	False
106	0.0047685131430625916	False
107	0.0026535361539572477	False
108	0.003930434584617615	False
109	0.004338250495493412	False
110	0.005135281942784786	False
111	0.005311574786901474	False
112	0.004395851865410805	False
113	0.0026213049422949553	False
114	0.00903997477144003	False
115	0.004795906133949757	False
116	0.008697696030139923	False
117	0.003815637668594718	False
118	0.0082993283867836	False
119	0.012020276859402657	False
120	0.006472371518611908	False
121	0.006916453130543232	False
122	0.0029817852191627026	False
